id_invoice,tanggal,id_barang,nama_barang,harga,unit,jumlah_barang,mata_uang,kode_barang,brand_id,kode_lini,lini,id_customer,nama,cabang_sales,id_cabang_sale,id_distributor,grup
IN5978,2022-05-25,BRG0001,"ACYCLOVIR DUS",1170,DUS,9,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55670,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN5979,2022-03-28,BRG0009,"AMBROXOL HC",5781,DUS,18,IDR,BRG0009,BRND009,207,VNS,CUST55598,"APOTEK MAJA",Kuningan,CAB02,TA,Apotek
IN5980,2022-01-23,BRG0003,AMPICILLIN,10691,DUS,20,IDR,BRG0003,BRND003,210,MARCKS,CUST55432,"APOTEK TAPAK",Aceh,CAB01,TA,Apotek
IN5981,2022-01-28,BRG0004,"TRAMADOL KAPSUL 50 MG",8701,DUS,76,IDR,BRG0004,BRND004,201,VNS,CUST55443,"APOTEK MERDEKA",Bandung,CAB04,EPM,Apotek
IN5982,2022-01-30,BRG0006,"KETOCONAZOLE TABLET 200 MG",2819,DUS,5,IDR,BRG0006,BRND006,205,"OGB & PH",CUST55535,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN5983,2022-04-21,BRG0003,AMPICILLIN,10691,DUS,67,IDR,BRG0003,BRND003,210,MARCKS,CUST55622,"KLINIK GM",Jakarta,CAB03,EPM,Klinik
IN5984,2022-05-01,BRG0005,"KLORPROMAZINA TABLET SALUT SELAPUT 100 MG",5648,DUS,8,IDR,BRG0005,BRND005,203,SLCYL,CUST55714,"KLINIK SAHABAT",Tangerang,CAB05,TD,Klinik
IN5985,2022-04-18,BRG0001,"ACYCLOVIR DUS",1170,DUS,22,IDR,BRG0001,BRND001,206,"OGB & PH",CUST55640,"APOTEK SINAR JAYA",Bekasi,CAB06,TD,Apotek
IN5986,2022-02-15,BRG0002,"ALERGINE TABLET SALUT",3992,DUS,9,IDR,BRG0002,BRND008,203,MARCKS,CUST55557,"APOTEK SINAR JAYA",Bekasi,CAB06,TA,Apotek
IN5987,2022-04-19,BRG0010,PARACETAMOL,6940,DUS,14,IDR,BRG0010,BRND010,208,SLCYL,CUST55659,"KLINIK GM",Jakarta,CAB03,EPM,Klinik
IN5988,2022-02-09,BRG0002,"ALERGINE TABLET SALUT",2338,DUS,10,IDR,BRG0002,BRND002,203,ETIKAL,CUST55551,"APOTEK SAHABAT",Padang,CAB07,EPM,Apotek
IN5989,2022-05-01,BRG0010,PARACETAMOL,6940,DUS,67,IDR,BRG0010,BRND010,208,SLCYL,CUST55719,"KLINIK GM",Jakarta,CAB03,TA,Klinik
IN5990,2022-05-03,BRG0001,"ACYCLOVIR DUS",4592,DUS,10,IDR,BRG0001,BRND007,206,ETIKAL,CUST55706,"KLINIK SAHABAT",Tangerang,CAB05,TA,Klinik
